Outcome,Message,Identity,Delay,Symbol,StartDate,StartTime,EndDate,EndTime,Open,High,Low,Close,Average,Volume
Success,,,0,XAUUSD,12/01/2015,9:40:00 AM,12/01/2015,9:45:00 AM,1071.93,1072.13,1071.29,1071.9,1071.813,66
Success,,,0,XAUUSD,12/01/2015,9:45:00 AM,12/01/2015,9:50:00 AM,1071.85,1072.25,1071.08,1071.45,1071.779,61
Success,,,0,XAUUSD,12/01/2015,9:50:00 AM,12/01/2015,9:55:00 AM,1071.45,1071.73,1070.47,1071.05,1071.337,66
Success,,,0,XAUUSD,12/01/2015,9:55:00 AM,12/01/2015,10:00:00 AM,1071.13,1071.45,1070.64,1071.05,1071.141,71
Success,,,0,XAUUSD,12/01/2015,10:00:00 AM,12/01/2015,10:05:00 AM,1071.05,1071.23,1070.1,1070.85,1070.705,67
Success,,,0,XAUUSD,12/01/2015,10:05:00 AM,12/01/2015,10:10:00 AM,1070.93,1071.65,1070.21,1070.65,1071.047,69
Success,,,0,XAUUSD,12/01/2015,10:10:00 AM,12/01/2015,10:15:00 AM,1070.65,1071.03,1070.03,1070.85,1070.647,62
Success,,,0,XAUUSD,12/01/2015,10:15:00 AM,12/01/2015,10:20:00 AM,1070.88,1070.88,1070.12,1070.65,1070.609,68
Success,,,0,XAUUSD,12/01/2015,10:20:00 AM,12/01/2015,10:25:00 AM,1070.78,1070.83,1069.35,1069.85,1070,69
Success,,,0,XAUUSD,12/01/2015,10:25:00 AM,12/01/2015,10:30:00 AM,1069.85,1069.93,1069.01,1069.85,1069.652,65
Success,,,0,XAUUSD,12/01/2015,10:30:00 AM,12/01/2015,10:35:00 AM,1069.78,1070.63,1069.37,1070.39,1070.091,48
Success,,,0,XAUUSD,12/01/2015,10:35:00 AM,12/01/2015,10:40:00 AM,1070.25,1070.93,1069.95,1070.52,1070.46,39
Success,,,0,XAUUSD,12/01/2015,10:40:00 AM,12/01/2015,10:45:00 AM,1070.4,1070.93,1069.77,1070.65,1070.392,38
Success,,,0,XAUUSD,12/01/2015,10:45:00 AM,12/01/2015,10:50:00 AM,1070.65,1070.73,1069.98,1070.3,1070.447,32
Success,,,0,XAUUSD,12/01/2015,10:50:00 AM,12/01/2015,10:55:00 AM,1070.3,1070.83,1069.9,1070.58,1070.436,31
Success,,,0,XAUUSD,12/01/2015,10:55:00 AM,12/01/2015,11:00:00 AM,1070.63,1070.63,1069.78,1070.2,1070.252,31
Success,,,0,XAUUSD,12/01/2015,11:00:00 AM,12/01/2015,11:05:00 AM,1070.43,1070.53,1069.77,1070.2,1070.177,35
Success,,,0,XAUUSD,12/01/2015,11:05:00 AM,12/01/2015,11:10:00 AM,1070.2,1070.53,1069.69,1069.95,1070.118,25
Success,,,0,XAUUSD,12/01/2015,11:10:00 AM,12/01/2015,11:15:00 AM,1070.13,1070.13,1069.3,1069.76,1069.721,34
Success,,,0,XAUUSD,12/01/2015,11:15:00 AM,12/01/2015,11:20:00 AM,1069.83,1070.13,1069.17,1069.6,1069.758,38
Success,,,0,XAUUSD,12/01/2015,11:20:00 AM,12/01/2015,11:25:00 AM,1069.5,1069.93,1069.15,1069.55,1069.538,32
